#Uploaded_variation	Location	Allele	Consequence	IMPACT	SYMBOL	Gene	Feature_type	Feature	BIOTYPE	EXON	INTRON	HGVSc	HGVSp	cDNA_position	CDS_position	Protein_position	Amino_acids	Codons	Existing_variation	DISTANCE	STRAND	SYMBOL_SOURCE	HGNC_ID	REFSEQ_MATCH	GMAF	AFR_MAF	AMR_MAF	ASN_MAF	EAS_MAF	EUR_MAF	SAS_MAF	AA_MAF	EA_MAF	CLIN_SIG	SOMATIC	PHENO	PUBMED	MOTIF_NAME	MOTIF_POS	HIGH_INF_POS	MOTIF_SCORE_CHANGE
esv3638608	16:50688165-50688165	CN2	start_lost,coding_sequence_variant,5_prime_UTR_variant,3_prime_UTR_variant,intron_variant	LOW	CYLD	1540	Transcript	XM_005255811.1	protein_coding	1-20/20	1-19/19	-	-	-	-	-	-	-	-	-	1	-	-	rseq_mrna_nonmatch,rseq_no_comparison,rseq_ens_match_cds	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esv3638608	16:50688165-50688165	CN2	start_lost,coding_sequence_variant,5_prime_UTR_variant,3_prime_UTR_variant,intron_variant	LOW	SNX20	124460	Transcript	NM_153337.2	protein_coding	01/04/04	01/03/03	-	-	-	-	-	-	-	-	-	-1	-	-	rseq_mrna_match,rseq_ens_match_wt	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esv3638608	16:50688165-50688165	CN2	start_lost,coding_sequence_variant,5_prime_UTR_variant,3_prime_UTR_variant,intron_variant	LOW	CYLD	1540	Transcript	XM_005255812.1	protein_coding	1-19/19	1-18/18	-	-	-	-	-	-	-	-	-	1	-	-	rseq_mrna_nonmatch,rseq_3p_mismatch,rseq_ens_match_cds	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esv3638608	16:50688165-50688165	CN2	start_lost,coding_sequence_variant,5_prime_UTR_variant,3_prime_UTR_variant,intron_variant	LOW	NOD2	64127	Transcript	XM_005256084.1	protein_coding	01/12/12	01/11/11	-	-	-	-	-	-	-	-	-	1	-	-	rseq_mrna_match,rseq_ens_no_match	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esv3638608	16:50688165-50688165	CN2	start_lost,coding_sequence_variant,5_prime_UTR_variant,3_prime_UTR_variant,intron_variant	LOW	SNX20	124460	Transcript	NM_182854.2	protein_coding	01/04/04	01/03/03	-	-	-	-	-	-	-	-	-	-1	-	-	rseq_mrna_match,rseq_ens_match_cds	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esv3638608	16:50688165-50688165	CN2	start_lost,coding_sequence_variant,5_prime_UTR_variant,3_prime_UTR_variant,intron_variant	LOW	CYLD	1540	Transcript	NM_015247.2	protein_coding	1-20/20	1-19/19	-	-	-	-	-	-	-	-	-	1	-	-	rseq_mrna_match,rseq_ens_match_cds	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esv3638608	16:50688165-50688165	CN2	start_lost,coding_sequence_variant,5_prime_UTR_variant,3_prime_UTR_variant,intron_variant	LOW	CYLD	1540	Transcript	NM_001042355.1	protein_coding	1-18/18	1-17/17	-	-	-	-	-	-	-	-	-	1	-	-	rseq_mrna_match,rseq_ens_match_cds	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esv3638608	16:50688165-50688165	CN2	downstream_gene_variant	MODIFIER	-	101927313	Transcript	XR_243446.1	misc_RNA	-	-	-	-	-	-	-	-	-	-	1920	-1	-	-	rseq_mrna_nonmatch,rseq_nctran_mismatch,rseq_ens_no_match	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esv3638608	16:50688165-50688165	CN2	start_lost,coding_sequence_variant,5_prime_UTR_variant,3_prime_UTR_variant,intron_variant	LOW	SNX20	124460	Transcript	NM_001144972.1	protein_coding	01/04/04	01/03/03	-	-	-	-	-	-	-	-	-	-1	-	-	rseq_mrna_match,rseq_ens_match_cds	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esv3638608	16:50688165-50688165	CN2	non_coding_transcript_exon_variant,intron_variant,non_coding_transcript_variant	MODIFIER	-	101927272	Transcript	XR_243444.1	misc_RNA	01/03/03	01/02/02	-	-	-	-	-	-	-	-	-	1	-	-	rseq_ens_match_wt,rseq_mrna_nonmatch,rseq_no_comparison	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esv3638608	16:50688165-50688165	CN2	start_lost,coding_sequence_variant,5_prime_UTR_variant,3_prime_UTR_variant,intron_variant	LOW	NOD2	64127	Transcript	NM_022162.1	protein_coding	01/12/12	01/11/11	-	-	-	-	-	-	-	-	-	1	-	-	rseq_mrna_match,rseq_ens_match_cds	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esv3638608	16:50688165-50688165	CN2	start_lost,coding_sequence_variant,5_prime_UTR_variant,3_prime_UTR_variant,intron_variant	LOW	CYLD	1540	Transcript	NM_001042412.1	protein_coding	1-18/18	1-17/17	-	-	-	-	-	-	-	-	-	1	-	-	rseq_mrna_match,rseq_ens_match_cds	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
